Category,Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Review Count,Product URL,Scraped Date,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Rating Category,Price Category,Value Score
smart-watches,"Oraimo Watch 6 Max OSW-8001N 1.83""TFT Full Touch Smart Watch - Black","Oraimo Watch 6 Max OSW-8001N 1.83""TFT Full Touch Smart Watch - Black",1798,4421,59.3,FALSE,0,0,https://www.jumia.co.ke/oraimo-watch-6-max-osw-8001n-1.83tft-full-touch-smart-watch-black-326809417.html,07/26/26 13:54,,,,,No Rating,Budget (<5k),0.178
smart-watches,Oraimo Watch 6 Lite 2.01” HD Screen Smart Watch 24 Hour Health Monitoring,Oraimo Watch 6 Lite 2.01” HD Screen Smart Watch 24 Hour Health Monitoring,2299,2948,22,FALSE,4.6,0,https://www.jumia.co.ke/oraimo-watch-6-lite-2.01-hd-screen-smart-watch-24-hour-health-monitoring-326546480.html,07/26/26 13:54,,,,,Excellent,Budget (<5k),0.526
smart-watches,"Oraimo Watch 6 Nano 1.52"" TFT Full Touch Smart Watch Gold","Oraimo Watch 6 Nano 1.52"" TFT Full Touch Smart Watch Gold",2380,5359,55.6,FALSE,5,0,https://www.jumia.co.ke/oraimo-watch-6-nano-1.52-tft-full-touch-smart-watch-gold-326706299.html,07/26/26 13:54,,,,,Excellent,Budget (<5k),0.667
smart-watches,TiLECC T2pro Heart Rate And Blood Pressure Monitoring Circular Smart Watch,TiLECC T2pro Heart Rate And Blood Pressure Monitoring Circular Smart Watch,1006,2144,53.1,FALSE,4.2,0,https://www.jumia.co.ke/tilecc-t2pro-heart-rate-and-blood-pressure-monitoring-circular-smart-watch-325940752.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.579
smart-watches,Kingnote T900U 2.09''inch Smartwatch Native Storm Waterproof Black,Kingnote T900U 2.09''inch  Smartwatch Native Storm Waterproof  Black,579,1608,64,TRUE,3.9,0,https://www.jumia.co.ke/kingnote-t900u-2.09inch-smartwatch-native-storm-waterproof-black-326060569.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.582
smart-watches,VANIR AMOLED Smart Watch with Bluetooth Calling 2.01 HD Display IP68 Waterproof Fitness Tracker Sports Watch with 200 Custom Faces for Men Women Compatible with iPhone Android Samsung Tecno Infinix Camon Hot,VANIR AMOLED Smart Watch with Bluetooth Calling 2.01 HD Display IP68 Waterproof Fitness Tracker Sports Watch with 200 Custom Faces for Men Women Compatible with iPhone Android Samsung Tecno Infinix Camon Hot,1943,2680,27.5,FALSE,4,0,https://www.jumia.co.ke/vanir-amoled-smart-watch-with-bluetooth-calling-2.01-hd-display-ip68-waterproof-fitness-tracker-sports-watch-with-200-custom-faces-for-men-women-compatible-with-iphone-android-samsung-tecno-infinix-camon-hot-326396765.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.483
smart-watches,Utarudi GS80 HD Round Screen Smart Watch Fashionable Dial Health Monitor IP68 Waterproof 7-10 Day Battery,Utarudi GS80 HD Round Screen Smart Watch Fashionable Dial Health Monitor IP68 Waterproof 7-10 Day Battery,3000,4308,30.4,FALSE,4.3,0,https://www.jumia.co.ke/utarudi-gs80-hd-round-screen-smart-watch-fashionable-dial-health-monitor-ip68-waterproof-7-10-day-battery-296430008.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.521
smart-watches,"AirMars Watch ASW33 1.77"" AMOLED 2.5D 1000mah Battery Floating Interface IP68 Smart Watch","AirMars Watch  ASW33  1.77"" AMOLED 2.5D 1000mah Battery Floating Interface IP68 Smart Watch",4489,8040,44.2,FALSE,5,0,https://www.jumia.co.ke/airmars-watch-asw33-1.77-amoled-2.5d-1000mah-battery-floating-interface-ip68-smart-watch-327659858.html,07/26/26 13:54,,,1000,,Excellent,Budget (<5k),0.633
smart-watches,Smart Watch Exercise Blood Pressure Heart Rate For IOS And Android,Smart Watch Exercise Blood Pressure Heart Rate For IOS And Android,620,1350,54.1,FALSE,1,0,https://www.jumia.co.ke/generic-smart-watch-exercise-blood-pressure-heart-rate-for-ios-and-android-327108024.html,07/26/26 13:54,,,,,Poor,Budget (<5k),0.262
smart-watches,Smart Watch Men Fitness Smartwatch For Android IOS-Black,Smart Watch Men Fitness Smartwatch For Android IOS-Black,1675,2144,21.9,FALSE,3.8,0,https://www.jumia.co.ke/generic-smart-watch-men-fitness-smartwatch-for-android-ios-black-299809772.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.446
